"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Matter","",,2023 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),"13 Jul 2023","2023","","","4","90","","2642-2077","978-1-6654-5383-7","10.1109/I2MTC53148.2023.10175933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10175933","","","","","","","IEEE","13 Jul 2023","","","IEEE","IEEE Conferences"
"Front Matter","",,2023 15th Biomedical Engineering International Conference (BMEiCON),"22 Nov 2023","2023","","","i","cliv","","2473-7607","979-8-3503-4524-7","10.1109/BMEiCON60347.2023.10322065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322065","","","","","","","IEEE","22 Nov 2023","","","IEEE","IEEE Conferences"
"Generative AI in the Software Development Lifecycle","T. T. Bannon; P. Laplante","MITRE Corporation, Bedford, MA, USA; NIST, Gaithersburg, MD, USA",Computer,"18 Nov 2024","2024","57","12","27","34","We conducted a virtual roundtable on generative AI (GenAI), human/machine teaming, and the future of the software development lifecycle (SDLC). Experts from industry, academia, and government explored how GenAI is transforming the SDLC across mission and business domains.","1558-0814","","10.1109/MC.2024.3474789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10755990","","Industries;Generative AI;Government;Software development management;Business","","","","0","USGov","18 Nov 2024","","","IEEE","IEEE Magazines"
"Copyright Page","",,"2024 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)","4 Dec 2024","2024","","","1","85","","2837-116X","979-8-3503-6655-6","10.1109/ICSPCC62635.2024.10770401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770401","","","","","","","IEEE","4 Dec 2024","","","IEEE","IEEE Conferences"
"Conference Guide [Front matter]","",,"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)","8 Jan 2021","2020","","","1","115","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","978-1-7281-7709-0","10.1109/ICARCV50220.2020.9305477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305477","","","","","","","IEEE","8 Jan 2021","","","IEEE","IEEE Conferences"
"[Front matter]","",,2020 IEEE Congress on Evolutionary Computation (CEC),"3 Sep 2020","2020","","","4","46","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","978-1-7281-6929-3","10.1109/CEC48606.2020.9185689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185689","","","","","","","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"[Front matter]","",,2020 International Joint Conference on Neural Networks (IJCNN),"28 Sep 2020","2020","","","4","117","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207579","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207579","","","","","","","IEEE","28 Sep 2020","","","IEEE","IEEE Conferences"
"IEEE MI-STA2023 Conference Proceeding","",,2023 IEEE 3rd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA),"6 Jul 2023","2023","","","1","890","","","979-8-3503-1989-7","10.1109/MI-STA57575.2023.10169614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169614","","","","","","","IEEE","6 Jul 2023","","","IEEE","IEEE Conferences"
"ICCAD 2022 Conference Proceedings","",,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),"22 Mar 2023","2022","","","1","1467","","1558-2434","978-1-4503-9217-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069029","","","","","","","","22 Mar 2023","","","IEEE","IEEE Conferences"
"ICCE-Taiwan 2023 Conference Proceedings","",,2023 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),"31 Aug 2023","2023","","","1","891","","2575-8284","979-8-3503-2417-4","10.1109/ICCE-Taiwan58799.2023.10226807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10226807","","","","","","","IEEE","31 Aug 2023","","","IEEE","IEEE Conferences"
